CREW_ID,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,GENDER,NATIONALITY,COUNTRY,JOB_ID,SALARY_ID,CREW_INFO_ID,VESSEL_ID
CW144,Stephen,Jones,01/27/1990,Male,Italian,Italy,JB13,SA144,CI144,V421
CW145,Lisa,Mcgee,11/15/2003,Female,Dutch,Netherlands,JB13,SA145,CI145,V474
CW148,Haley,Brewer,06/23/1974,Male,Swedish,Sweden,JB10,SA148,CI148,V431
CW151,William,Mckinney,06/19/1966,Male,Dutch,Netherlands,JB12,SA151,CI151,V268
CW152,Courtney,Riddle,02/20/1983,Male,Mexican,Mexico,JB11,SA152,CI152,V489
CW166,Frank,Hall,08/15/1982,Female,British,United Kingdom,JB13,SA166,CI166,V421
CW168,Christina,Mcguire,03/18/2000,Female,British,United Kingdom,JB13,SA168,CI168,V490
CW169,Kaitlin,Morris,02/13/1979,Female,British,United Kingdom,JB16,SA169,CI169,V421
CW170,David,Newman,12/20/1967,Male,British,United Kingdom,JB14,SA170,CI170,V489
CW181,Philip,Estes,05/19/1981,Female,French,France,JB16,SA181,CI181,V489
CW185,Nancy,Huynh,09/13/1997,Male,Mexican,Mexico,JB11,SA185,CI185,V431
CW192,Lorraine,Castaneda,07/01/1978,Male,Brazilian,Brazil,JB15,SA192,CI192,V474
CW204,Eric,Carter,10/28/2003,Male,Swedish,Sweden,JB14,SA204,CI204,V489
CW205,David,Butler,05/17/1984,Male,British,United Kingdom,JB10,SA205,CI205,V481
CW213,Brandy,Wilson,12/06/1980,Female,Norwegian,Norway,JB12,SA213,CI213,V490
CW215,Daniel,Acosta,09/23/1997,Male,British,United Kingdom,JB13,SA215,CI215,V490
CW220,Amanda,Wright,01/12/1989,Male,French,France,JB16,SA220,CI220,V474
CW228,Jamie,Rush,03/28/1997,Male,British,United Kingdom,JB11,SA228,CI228,V421
CW038,Stephanie,Brooks,04/07/2005,Female,British,United Kingdom,JB23,SA038,CI038,V428
CW040,Jennifer,Wilson,02/01/2000,Female,Spanish,Spain,JB23,SA040,CI040,V428
CW041,Patrick,Moore,01/20/1995,Male,Mexican,Mexico,JB17,SA041,CI041,V489
CW042,Matthew,Simmons,12/30/1964,Female,Canadian,Canada,JB17,SA042,CI042,V490
CW043,Bailey,Snyder,11/24/1975,Female,Italian,Italy,JB23,SA043,CI043,V428
CW044,Scott,Mueller,01/28/1981,Male,Indian,India,JB24,SA044,CI044,V428
CW045,Edward,Johnson,09/07/1985,Female,British,United Kingdom,JB17,SA045,CI045,V431
CW050,Melissa,Sandoval,01/10/1982,Male,Australian,Australia,JB18,SA050,CI050,V481
CW051,Tom,Lane,08/06/2000,Female,Brazilian,Brazil,JB22,SA051,CI051,V268
CW057,Mariah,Smith,05/19/1993,Male,British,United Kingdom,JB17,SA057,CI057,V481
CW061,Lisa,Quinn,01/20/2002,Female,Spanish,Spain,JB21,SA061,CI061,V481
CW062,Anna,Carr,04/07/1969,Female,German,Germany,JB21,SA062,CI062,V268
CW064,Michael,Curry,05/14/1990,Male,British,United Kingdom,JB19,SA064,CI064,V489
CW065,William,Hatfield,07/07/1992,Male,Canadian,Canada,JB24,SA065,CI065,V490
CW066,Tiffany,Robinson,11/29/1988,Female,Indian,India,JB20,SA066,CI066,V481
CW067,Kenneth,Taylor,11/12/1975,Female,Indian,India,JB17,SA067,CI067,V268
CW077,Kathleen,Jackson,06/25/1967,Male,Indian,India,JB22,SA077,CI077,V268
CW079,Allison,Reyes,03/03/1982,Male,Swedish,Sweden,JB19,SA079,CI079,V431
CW082,Brittany,Cole,04/13/1973,Female,Japanese,Japan,JB21,SA082,CI082,V268
CW083,Donald,Johnson,09/10/1999,Female,South African,South Africa,JB18,SA083,CI083,V431
CW084,Stacy,Patton,12/24/2003,Female,British,United Kingdom,JB23,SA084,CI084,V268
CW090,Veronica,Collins,12/28/1968,Male,British,United Kingdom,JB21,SA090,CI090,V489
CW094,Stephanie,Page,07/22/1976,Male,British,United Kingdom,JB21,SA094,CI094,V421
CW096,Teresa,Martin,08/12/1992,Female,British,United Kingdom,JB18,SA096,CI096,V489
CW102,John,Chavez,01/25/1997,Female,British,United Kingdom,JB22,SA102,CI102,V428
CW103,Michelle,Ray,07/13/1968,Male,Australian,Australia,JB19,SA103,CI103,V489
CW109,Natalie,Washington,01/26/1979,Female,Canadian,Canada,JB19,SA109,CI109,V428
CW112,Michael,Munoz,08/31/1996,Female,British,United Kingdom,JB19,SA112,CI112,V431
CW116,Scott,Sanchez,10/21/1976,Female,British,United Kingdom,JB17,SA116,CI116,V421
CW117,Christopher,West,04/19/2005,Male,French,France,JB21,SA117,CI117,V421
CW118,Ryan,Graves,05/04/1982,Female,British,United Kingdom,JB23,SA118,CI118,V428
CW119,Aaron,Jackson,09/28/1991,Female,German,Germany,JB22,SA119,CI119,V268
CW120,Kimberly,Murphy,06/07/1986,Male,British,United Kingdom,JB19,SA120,CI120,V431
CW123,Aaron,Jarvis,03/22/1969,Male,Dutch,Netherlands,JB17,SA123,CI123,V268
CW127,Andre,Greene,04/01/1966,Male,Brazilian,Brazil,JB24,SA127,CI127,V431
CW131,Andrea,Kelley,10/02/1964,Male,Mexican,Mexico,JB17,SA131,CI131,V481
CW132,Ryan,Cole,02/17/1972,Male,British,United Kingdom,JB17,SA132,CI132,V481
CW134,Laura,Delacruz,06/26/1973,Male,Mexican,Mexico,JB22,SA134,CI134,V431
CW137,Robert,Simmons,03/20/1969,Female,American,United States,JB20,SA137,CI137,V490
CW139,Stephanie,Moore,01/01/1987,Male,German,Germany,JB22,SA139,CI139,V489
CW147,Kathryn,Hall,02/06/1976,Female,British,United Kingdom,JB21,SA147,CI147,V268
CW150,Katherine,Nielsen,05/24/1986,Female,Canadian,Canada,JB18,SA150,CI150,V481
CW153,Melody,Schroeder,11/07/1968,Male,Dutch,Netherlands,JB18,SA153,CI153,V431
CW155,Jeremiah,Mullins,07/27/2004,Female,British,United Kingdom,JB19,SA155,CI155,V421
CW158,Amy,Butler,12/21/1987,Male,Chinese,China,JB21,SA158,CI158,V268
CW159,Craig,Harris,01/04/2000,Male,Swedish,Sweden,JB19,SA159,CI159,V489
CW160,Dawn,Moss,01/31/2001,Male,British,United Kingdom,JB20,SA160,CI160,V268
CW163,Albert,Padilla,11/10/2000,Female,Indian,India,JB24,SA163,CI163,V489
CW164,William,Dickson,09/03/1996,Male,Chinese,China,JB20,SA164,CI164,V428
CW165,Anthony,Chase,10/11/1964,Female,British,United Kingdom,JB17,SA165,CI165,V489
CW167,Mary,Johnson,01/19/1979,Male,British,United Kingdom,JB24,SA167,CI167,V421
CW171,Emily,Webster,07/27/1983,Male,Brazilian,Brazil,JB19,SA171,CI171,V474
CW174,Karen,Adams,07/26/1983,Female,British,United Kingdom,JB24,SA174,CI174,V431
CW177,Brian,Ramos,12/18/1978,Male,British,United Kingdom,JB19,SA177,CI177,V481
CW182,Robert,Holt,06/06/1970,Male,Dutch,Netherlands,JB22,SA182,CI182,V268
CW186,Paul,Gonzales,03/07/1967,Male,Italian,Italy,JB24,SA186,CI186,V421
CW188,Cynthia,Schmidt,03/17/2001,Male,British,United Kingdom,JB18,SA188,CI188,V428
CW189,Scott,Griffith,03/11/1991,Male,Norwegian,Norway,JB22,SA189,CI189,V421
CW190,Marissa,Patterson,01/16/1966,Female,Australian,Australia,JB20,SA190,CI190,V431
CW194,Charles,Harvey,11/15/2001,Female,British,United Kingdom,JB18,SA194,CI194,V428
CW195,Lisa,Hall,03/29/1999,Male,German,Germany,JB24,SA195,CI195,V481
CW201,Anthony,Barber,02/26/2004,Male,British,United Kingdom,JB20,SA201,CI201,V489
CW203,William,Perez,12/30/1965,Male,Brazilian,Brazil,JB17,SA203,CI203,V428
CW206,Kelsey,Newman,11/30/1989,Male,German,Germany,JB18,SA206,CI206,V481
CW207,Cheryl,Watson,05/01/1978,Male,Dutch,Netherlands,JB21,SA207,CI207,V268
CW209,Larry,Walker,12/15/1982,Male,Indian,India,JB23,SA209,CI209,V268
CW210,James,Wiley,02/03/2004,Male,Mexican,Mexico,JB24,SA210,CI210,V489
CW211,Donald,Molina,04/26/1989,Male,Japanese,Japan,JB20,SA211,CI211,V481
CW217,Mary,Walker,09/06/1982,Male,British,United Kingdom,JB18,SA217,CI217,V474
CW218,Wayne,Yates,10/13/1989,Male,British,United Kingdom,JB19,SA218,CI218,V431
CW219,Haley,Bailey,01/29/1991,Male,Canadian,Canada,JB24,SA219,CI219,V489
CW221,Kevin,Edwards,10/18/1994,Female,Japanese,Japan,JB24,SA221,CI221,V428
CW222,James,Day,08/23/1997,Male,British,United Kingdom,JB19,SA222,CI222,V481
CW223,Mark,Barrera,02/11/1968,Female,Italian,Italy,JB22,SA223,CI223,V428
CW224,Bradley,Valdez,06/14/1977,Male,British,United Kingdom,JB19,SA224,CI224,V490
CW225,Lauren,Simmons,02/17/1987,Female,British,United Kingdom,JB17,SA225,CI225,V268
CW227,Mark,Glover,07/02/1983,Male,British,United Kingdom,JB23,SA227,CI227,V428
CW037,Seth,King,03/15/1993,Female,British,United Kingdom,JB31,SA037,CI037,V428
