CUST_ID,COMPANY_NAME,FIRST_NAME,LAST_NAME,ADDRESS,POSTAL_CODE,COUNTRY,PHONE,EMAIL,CUSTOMER_TYPE
CUS015,Davies Inc,Larissa,Scuylenborchs,Strada Magrassi 27 Appartamento 48,3158 YF,Netherlands,+31 916671179,larissa.scuylenborchs@daviesinc.nl,Business
CUS016,Rocha,Anunciacin,Walker,92 Merelboulevard,9947 AD,Netherlands,+31 284330458,anunciacin.walker@rocha.nl,Business
CUS017,Bohlander GbR,Harold,Horne,635 Helen stravenue,9081 RF,Netherlands,+31 729863365,harold.horne@bohlandergbr.nl,Business
CUS018,"Henderson, Lewis and Ryan",Jaylinn,Payne,C. de Hilda Perea 88,56388,Spain,+34 918522059,jaylinn.payne@hendersonlewisandryan.es,Business
CUS019,Lefebvre,David,Walker,Piazza Benedetto 0,1155,Switzerland,+41 615419206,david.walker@lefebvre.ch,Business
CUS020,,Stanley,Dixon,chemin de Mathieu,552-2167,United States,+1 266372474,stanley.dixon@yahoo.com,Logistics Provider
CUS021,,Monique,Walls,411 Grostr.,8209,Austria,+43 714133212,monique.walls@outlook.com,Individual
CUS022,Davison-Jones,Tiziano,Clenaghan,8 Joanne cliff,8531,Switzerland,+41 515319694,tiziano.clenaghan@davison-jones.ch,Business
CUS023,,Amanda,Cimarosa,"Flat 47
Keith mills",400172,Russia,+7 936502005,amanda.cimarosa@yahoo.com,Individual
CUS024,,Mandy,Cabaas,Avenida ngeles Guzmn 86,944796,Russia,+7 826227235,mandy.cabaas@hotmail.com,Retailer
CUS025,,Xavi,Lewis,"Flat 2
Metcalfe loaf",95919,Italy,+39 717126364,xavi.lewis@gmail.com,Retailer
CUS026,,Harris,Landers,Avenida de Carolina Saura 6 Apt. 49,39391,United States,+1 392776662,Harris.landers@hotmail.com,Individual
CUS027,,Charlie,Coholan,Calle de Aureliano Tapia 182,67063,Canada,+1 100523377,charlie.coholan@outlook.com,Individual
CUS028,,Christopher,Estevez,Dussen vanstr. 99,8616 BT,Netherlands,+31 232020645,christopher.estevez@.nl,Business
CUS029,"Yez, Molina and Julin",Tomas,Torres,5973 Edward Lodge,6047,Austria,+43 441447035,Tom.torres@yezmolinaandjulin.at,Business
CUS030,,Marcelo,Saragat,Piazza Roman 9 Appartamento 18,D3W2,Ireland,+353 374692677,marcelo.saragat@hotmail.com,Logistics Provider
CUS031,Anderson-Bailey,Ignacio,Guillou,542 Bass Tor,2429,Switzerland,+41 998301457,ignacio.guillou@anderson-bailey.ch,Business
CUS032,,Josh,ngel,Via de Selena Caizares 21,9206,Austria,+43 336029891,josh.ngel@outlook.com,Logistics Provider
CUS033,,Eutropio,Troupe,"Studio 69
Andrea circle",V4D 3CV,United Kingdom,+44 975307413,eutropio.trope@gmail.co.uk,Business
CUS034,Bertrand,Rosalia,songs,"Studio 37
Ferguson walk",Q6N 5RV,United Kingdom,+44 862284077,rosalia.song@bertrand.co.uk,Business
CUS035,,Brandi,Finke,Glorieta de Isabel Iborra 6,1165,Australia,+61 800106181,brandi.finke@.au,Business
CUS036,,Kerstin,Maia,94 chemin Fischer,30356,France,+33 294306929,kerstin.maia@.fr,Business
CUS037,Olsson & Gustafsson AB,Margareta,Pettersson,"Praa Domingues, 8",77135,France,+33 306309463,margareta.pettersson@olssonandgustafssonab.fr,Business
CUS038,Garobbio SPA,Pancho,Lysaght,54 Ricky keys,5733,Australia,+61 669383239,pancho.lysaght@garobbiospa.au,Business
CUS039,Leroy,Andrew,Allard,"6, avenue Gallet",59075,Germany,+49 307966366,andrew.allard@leroy.de,Business
CUS040,,Dina,Hamilton,9816 Jonathan Station Suite 088,14773,France,+33 774391854,dina.hamilton@yahoo.com,Retailer
CUS041,"Mclaughlin, Gonzalez and Reynolds",Joyce,Fouquet,34 Praca Cruz,2578-134,Portugal,+351 837070514,joyce.fouquet@mclaughlingonzalezandreynolds.pt,Business
CUS042,,Josefina,Malaparte,6 Davies extensions,90526,Italy,+39 373541053,josefina.malaparte@outlook.com,Individual
CUS043,,Laetitia,Lucey,753 Aliweg,1203 TU,Netherlands,+31 199584484,laetitia.lucey@outlook.com,Manufacturer
CUS044,,Jamie,Vergara,3872 Justin Shore Suite 134,59369,Sweden,+46 208556179,jamie.vergara@gmail.com,Individual
CUS045,,Jessica,Garcia,70 Jennifer Centre,9971,Austria,+43 844322185,jessica.garcia@outlook.com,Wholesaler
CUS046,"Ferrari, Pastine e Tagliafierro s.r.l.",Camila,Ribas,19721 Jennifer Courts,29184,United States,+1 349073848,camila.ribas@ferraripastineetagliafierrosrl.com,Business
CUS047,Anjos,Hanns,Shaughnessy,72788 Dodson Mills,31773,France,+33 701978830,hanns.shaughnessy@anjos.fr,Business
CUS048,"Roldan, Salmern and Cuenca",Cheyenne,Ball,"Travessa de Tefilo Braga, 5",76365,Spain,+34 611247529,cheyenne.ball@roldansalmernandcuenca.es,Business
CUS049,,Ty,Fontaine,7 Mohammed forest,Q5S 0QZ,United Kingdom,+44 835918935,ty.fontaine@gmail.com,Manufacturer
